Date : 2022-01-14 11:34:21
Directory : c:\xampp_new\htdocs
Total : 917 files,  405173 codes, 23229 comments, 73654 blanks, all 502056 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\www\pages-gallery-6col.html                                      | Django HTML |        913 |          0 |        188 |      1,101 |
| c:\xampp_new\htdocs\www\pages-landing.html                                           | Django HTML |      1,099 |          0 |        222 |      1,321 |
| c:\xampp_new\htdocs\www\pages-pricing-1.html                                         | Django HTML |        947 |          0 |        182 |      1,129 |
| c:\xampp_new\htdocs\www\pages-pricing-2.html                                         | Django HTML |        984 |          0 |        192 |      1,176 |
| c:\xampp_new\htdocs\www\pages-services-1.html                                        | Django HTML |      1,072 |          0 |        185 |      1,257 |
| c:\xampp_new\htdocs\www\pages-services-2.html                                        | Django HTML |        960 |          0 |        166 |      1,126 |
| c:\xampp_new\htdocs\www\pages-services-3.html                                        | Django HTML |        959 |          0 |        183 |      1,142 |
| c:\xampp_new\htdocs\www\pages-team-1.html                                            | Django HTML |        966 |          0 |        198 |      1,164 |
| c:\xampp_new\htdocs\www\pages-team-2.html                                            | Django HTML |        994 |          0 |        211 |      1,205 |
| c:\xampp_new\htdocs\www\pages-under-construction.html                                | Django HTML |        154 |          0 |         37 |        191 |
| c:\xampp_new\htdocs\www\php\PHPMailer.php                                            | PHP         |      2,745 |      1,836 |        370 |      4,951 |
| c:\xampp_new\htdocs\www\php\SMTP.php                                                 | PHP         |        718 |        598 |        141 |      1,457 |
| c:\xampp_new\htdocs\www\portfolio-boxed-2col.html                                    | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-boxed-3col.html                                    | Django HTML |      1,001 |          0 |        157 |      1,158 |
| c:\xampp_new\htdocs\www\portfolio-boxed-4col.html                                    | Django HTML |      1,061 |          0 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-boxed-5col.html                                    | Django HTML |      1,046 |          0 |        160 |      1,206 |
| c:\xampp_new\htdocs\www\portfolio-boxed-blackhover.html                              | Django HTML |      1,061 |          0 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-boxed-gutter-2col.html                             | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-boxed-gutter-3col.html                             | Django HTML |      1,001 |          0 |        157 |      1,158 |
| c:\xampp_new\htdocs\www\portfolio-boxed-gutter-4col.html                             | Django HTML |      1,061 |          0 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-boxed-gutter-5col.html                             | Django HTML |      1,046 |          0 |        160 |      1,206 |
| c:\xampp_new\htdocs\www\portfolio-boxed-gutter-blackhover.html                       | Django HTML |      1,061 |          0 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-boxed-titles-2col.html                             | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-boxed-titles-3col.html                             | Django HTML |      1,001 |          0 |        157 |      1,158 |
| c:\xampp_new\htdocs\www\portfolio-boxed-titles-4col.html                             | Django HTML |      1,061 |          0 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-boxed-titles-5col.html                             | Django HTML |      1,046 |          0 |        160 |      1,206 |
| c:\xampp_new\htdocs\www\portfolio-boxed-titles-blackhover.html                       | Django HTML |      1,061 |          0 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-lazyload.html                                      | Django HTML |      1,001 |          0 |        156 |      1,157 |
| c:\xampp_new\htdocs\www\portfolio-masonry-2col.html                                  | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-masonry-3col.html                                  | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-masonry-4col.html                                  | Django HTML |        956 |          0 |        154 |      1,110 |
| c:\xampp_new\htdocs\www\portfolio-masonry-5col.html                                  | Django HTML |      1,001 |          0 |        157 |      1,158 |
| c:\xampp_new\htdocs\www\portfolio-masonry-blackhover.html                            | Django HTML |        956 |          0 |        154 |      1,110 |
| c:\xampp_new\htdocs\www\portfolio-parallax.html                                      | Django HTML |        867 |          0 |        168 |      1,035 |
| c:\xampp_new\htdocs\www\portfolio-promo.html                                         | Django HTML |      1,004 |          0 |        216 |      1,220 |
| c:\xampp_new\htdocs\www\portfolio-single-1.html                                      | Django HTML |      1,020 |          0 |        184 |      1,204 |
| c:\xampp_new\htdocs\www\portfolio-single-2.html                                      | Django HTML |        950 |          0 |        173 |      1,123 |
| c:\xampp_new\htdocs\www\portfolio-single-3.html                                      | Django HTML |      1,114 |          0 |        206 |      1,320 |
