Date : 2022-01-10 17:20:23
Directory : c:\xampp_new\htdocs\old
Total : 555 files,  156571 codes, 14759 comments, 25419 blanks, all 196749 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\old\admin\adminer\designs\paranoiq\adminer.css                   | CSS        |        252 |         13 |         26 |        291 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\pepa-linha\adminer.css                 | CSS        |        559 |          6 |        100 |        665 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\pilot\adminer.css                      | CSS        |        111 |          0 |         16 |        127 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\pokorny\adminer.css                    | CSS        |        251 |         42 |          2 |        295 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\price\adminer.css                      | CSS        |         50 |         24 |          2 |         76 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\rmsoft\adminer.css                     | CSS        |          1 |         34 |          2 |         37 |
| c:\xampp_new\htdocs\old\admin\adminer\designs\rmsoft_blue\adminer.css                | CSS        |          1 |         34 |          2 |         37 |
| c:\xampp_new\htdocs\old\admin\adminer\editor\db.inc.php                              | PHP        |         30 |          0 |          4 |         34 |
| c:\xampp_new\htdocs\old\admin\adminer\editor\example.php                             | PHP        |         36 |          6 |         11 |         53 |
| c:\xampp_new\htdocs\old\admin\adminer\editor\include\adminer.inc.php                 | PHP        |        583 |          8 |         68 |        659 |
| c:\xampp_new\htdocs\old\admin\adminer\editor\include\connect.inc.php                 | PHP        |          2 |          0 |          1 |          3 |
| c:\xampp_new\htdocs\old\admin\adminer\editor\include\editing.inc.php                 | PHP        |         34 |         17 |          3 |         54 |
| c:\xampp_new\htdocs\old\admin\adminer\editor\index.php                               | PHP        |         18 |          8 |          5 |         31 |
| c:\xampp_new\htdocs\old\admin\adminer\editor\script.inc.php                          | PHP        |         14 |          0 |          3 |         17 |
| c:\xampp_new\htdocs\old\admin\adminer\editor\sqlite.php                              | PHP        |         17 |          1 |          4 |         22 |
| c:\xampp_new\htdocs\old\admin\adminer\editor\static\editing.js                       | JavaScript |         41 |         13 |          9 |         63 |
| c:\xampp_new\htdocs\old\admin\adminer\index.php                                      | PHP        |      2,034 |          7 |          4 |      2,045 |
| c:\xampp_new\htdocs\old\admin\adminer\lang.php                                       | PHP        |          9 |         54 |          0 |         63 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\database-hide.php                      | PHP        |         16 |          9 |          5 |         30 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\designs.php                            | PHP        |         27 |         10 |          7 |         44 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\dump-alter.php                         | PHP        |        138 |          9 |          9 |        156 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\dump-bz2.php                           | PHP        |         28 |          8 |          6 |         42 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\dump-date.php                          | PHP        |          7 |          6 |          4 |         17 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\dump-json.php                          | PHP        |         48 |          7 |          8 |         63 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\dump-php.php                           | PHP        |         40 |          5 |          7 |         52 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\dump-xml.php                           | PHP        |         42 |          7 |          8 |         57 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\dump-zip.php                           | PHP        |         31 |          9 |          6 |         46 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\edit-calendar.php                      | PHP        |         38 |         13 |          6 |         57 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\edit-foreign.php                       | PHP        |         33 |          6 |          5 |         44 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\edit-textarea.php                      | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\email-table.php                        | PHP        |         41 |         14 |          6 |         61 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\enum-option.php                        | PHP        |         31 |          6 |          4 |         41 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\enum-types.php                         | PHP        |         34 |          8 |          9 |         51 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\file-upload.php                        | PHP        |         33 |         14 |          7 |         54 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\foreign-system.php                     | PHP        |         47 |          6 |          4 |         57 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\frames.php                             | PHP        |         14 |         10 |          5 |         29 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\json-column.php                        | PHP        |         38 |          7 |          4 |         49 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\login-ip.php                           | PHP        |         26 |         12 |          5 |         43 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\login-otp.php                          | PHP        |         39 |         11 |          6 |         56 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\login-password-less.php                | PHP        |         16 |         10 |          6 |         32 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\login-servers.php                      | PHP        |         26 |         10 |          7 |         43 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\login-ssl.php                          | PHP        |         10 |         10 |          5 |         25 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\login-table.php                        | PHP        |         11 |         19 |          5 |         35 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\master-slave.php                       | PHP        |         27 |         10 |          7 |         44 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\plugin.php                             | PHP        |        316 |         13 |         75 |        404 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\pretty-json-column.php                 | PHP        |         32 |          3 |          6 |         41 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\slugify.php                            | PHP        |         36 |         11 |          5 |         52 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\sql-log.php                            | PHP        |         25 |         10 |          7 |         42 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\struct-comments.php                    | PHP        |          6 |          6 |          3 |         15 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\table-indexes-structure.php            | PHP        |         21 |         10 |          3 |         34 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\table-structure.php                    | PHP        |         21 |         10 |          3 |         34 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\tables-filter.php                      | PHP        |         58 |          6 |          6 |         70 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\tinymce.php                            | PHP        |         59 |         12 |          7 |         78 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\translation.php                        | PHP        |         33 |         16 |          7 |         56 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\version-noverify.php                   | PHP        |          7 |          6 |          4 |         17 |
| c:\xampp_new\htdocs\old\admin\adminer\plugins\wymeditor.php                          | PHP        |         46 |         14 |          7 |         67 |
| c:\xampp_new\htdocs\old\admin\adminer\tests\katalon.html                             | HTML       |      1,607 |          1 |          0 |      1,608 |
| c:\xampp_new\htdocs\old\admin\data.php                                               | PHP        |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\old\admin\index.php                                              | PHP        |         89 |          0 |          3 |         92 |
| c:\xampp_new\htdocs\old\albums\index.php                                             | PHP        |        228 |          1 |         70 |        299 |
| c:\xampp_new\htdocs\old\albums\recuerdos1\index.php                                  | PHP        |        208 |          0 |          7 |        215 |
| c:\xampp_new\htdocs\old\albums\recuerdos2\index.php                                  | PHP        |        209 |          0 |          4 |        213 |
| c:\xampp_new\htdocs\old\albums\recuerdos3\index.php                                  | PHP        |        149 |          0 |          5 |        154 |
| c:\xampp_new\htdocs\old\apps\BAK.php                                                 | PHP        |        222 |          1 |         46 |        269 |
| c:\xampp_new\htdocs\old\apps\dork_tool\dorker.php                                    | PHP        |         34 |          2 |          8 |         44 |
| c:\xampp_new\htdocs\old\apps\dork_tool\dorks.xml                                     | XML        |         26 |          0 |          4 |         30 |
| c:\xampp_new\htdocs\old\apps\dork_tool\index copy.php                                | PHP        |        322 |         34 |         59 |        415 |
| c:\xampp_new\htdocs\old\apps\dork_tool\index.php                                     | PHP        |        632 |         34 |        123 |        789 |
| c:\xampp_new\htdocs\old\apps\dork_tool\keywords.php                                  | PHP        |          2 |          0 |          0 |          2 |
| c:\xampp_new\htdocs\old\apps\htags\code.php                                          | PHP        |         16 |          0 |          3 |         19 |
| c:\xampp_new\htdocs\old\apps\htags\index.php                                         | PHP        |        270 |         32 |         41 |        343 |
| c:\xampp_new\htdocs\old\apps\htags\simple_html_dom.php                               | PHP        |      1,696 |        302 |        356 |      2,354 |
| c:\xampp_new\htdocs\old\apps\jup\data.php                                            | PHP        |         12 |          0 |          6 |         18 |
| c:\xampp_new\htdocs\old\apps\jup\index.php                                           | PHP        |         61 |          0 |         10 |         71 |
| c:\xampp_new\htdocs\old\apps\jup\js\Chart.min.js                                     | JavaScript |          1 |          9 |          0 |         10 |
| c:\xampp_new\htdocs\old\apps\jup\js\jquery.min.js                                    | JavaScript |          3 |          1 |          2 |          6 |
