"filename", "language", "HTML", "PHP", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp_new\htdocs\www\portfolio-wide-gutter-blackhover.html", "HTML", 843, 0, 0, 0, 0, 98, 153, 1094
"c:\xampp_new\htdocs\www\portfolio-wide-titles-2col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-wide-titles-3col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-wide-titles-4col.html", "HTML", 843, 0, 0, 0, 0, 98, 153, 1094
"c:\xampp_new\htdocs\www\portfolio-wide-titles-5col.html", "HTML", 869, 0, 0, 0, 0, 102, 155, 1126
"c:\xampp_new\htdocs\www\portfolio-wide-titles-blackhover.html", "HTML", 843, 0, 0, 0, 0, 98, 153, 1094
"c:\xampp_new\htdocs\www\rs-plugin\css\settings-ie8.css", "CSS", 0, 0, 0, 0, 531, 83, 180, 794
"c:\xampp_new\htdocs\www\rs-plugin\css\settings.css", "CSS", 0, 0, 0, 0, 1742, 141, 462, 2345
"c:\xampp_new\htdocs\www\rs-plugin\font\revicons.svg", "XML", 0, 0, 54, 0, 0, 0, 0, 54
"c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.plugins.min.js", "JavaScript", 0, 0, 0, 8, 0, 66, 16, 90
"c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.revolution.js", "JavaScript", 0, 0, 0, 4088, 0, 542, 1599, 6229
"c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.revolution.min.js", "JavaScript", 0, 0, 0, 1, 0, 6, 2, 9
"c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.tools.min.js", "JavaScript", 0, 0, 0, 40, 0, 73, 30, 143
"c:\xampp_new\htdocs\www\shop-cart.html", "HTML", 830, 0, 0, 0, 0, 76, 162, 1068
"c:\xampp_new\htdocs\www\shop-columns-2col.html", "HTML", 1104, 0, 0, 0, 0, 128, 259, 1491
"c:\xampp_new\htdocs\www\shop-columns-3col.html", "HTML", 1071, 0, 0, 0, 0, 124, 250, 1445
"c:\xampp_new\htdocs\www\shop-columns-4col.html", "HTML", 1121, 0, 0, 0, 0, 132, 288, 1541
"c:\xampp_new\htdocs\www\shop-single.html", "HTML", 1021, 0, 0, 0, 0, 121, 226, 1368
"c:\xampp_new\htdocs\www\special-barbershop-about.html", "HTML", 211, 0, 0, 0, 0, 49, 57, 317
"c:\xampp_new\htdocs\www\special-barbershop-contact.html", "HTML", 260, 0, 0, 0, 0, 62, 78, 400
"c:\xampp_new\htdocs\www\special-barbershop-gallery.html", "HTML", 220, 0, 0, 0, 0, 63, 71, 354
"c:\xampp_new\htdocs\www\special-barbershop-pricing.html", "HTML", 491, 0, 0, 0, 0, 49, 57, 597
"c:\xampp_new\htdocs\www\special-barbershop.html", "HTML", 442, 0, 0, 0, 0, 111, 111, 664
"c:\xampp_new\htdocs\www\special-coming-soon-1.html", "HTML", 343, 0, 0, 0, 0, 79, 104, 526
"c:\xampp_new\htdocs\www\special-coming-soon-2.html", "HTML", 338, 0, 0, 0, 0, 81, 110, 529
"c:\xampp_new\htdocs\www\special-construction-1-about.html", "HTML", 473, 0, 0, 0, 0, 98, 165, 736
"c:\xampp_new\htdocs\www\special-construction-1-contact.html", "HTML", 359, 0, 0, 0, 0, 87, 113, 559
"c:\xampp_new\htdocs\www\special-construction-1-portfolio.html", "HTML", 349, 0, 0, 0, 0, 88, 125, 562
"c:\xampp_new\htdocs\www\special-construction-1-services-single.html", "HTML", 364, 0, 0, 0, 0, 90, 114, 568
"c:\xampp_new\htdocs\www\special-construction-1-services.html", "HTML", 396, 0, 0, 0, 0, 95, 131, 622
"c:\xampp_new\htdocs\www\special-construction-1.html", "HTML", 693, 0, 0, 0, 0, 164, 227, 1084
"c:\xampp_new\htdocs\www\special-construction-2-about.html", "HTML", 464, 0, 0, 0, 0, 91, 158, 713
"c:\xampp_new\htdocs\www\special-construction-2-contact.html", "HTML", 350, 0, 0, 0, 0, 80, 104, 534
"c:\xampp_new\htdocs\www\special-construction-2-portfolio.html", "HTML", 340, 0, 0, 0, 0, 81, 118, 539
"c:\xampp_new\htdocs\www\special-construction-2-services-single.html", "HTML", 355, 0, 0, 0, 0, 83, 107, 545
"c:\xampp_new\htdocs\www\special-construction-2-services.html", "HTML", 388, 0, 0, 0, 0, 88, 124, 600
